ticker,present_period,win_made,lost_made,giveup_made,win_percentage,profit,capital
['LIN;'],5y,15,9,1,0.6,199.11788809640063,1000
['LIN;'],10y,22,16,2,0.55,217.0501286097936,1000
['LIN;'],20y,47,27,4,0.6025641025641025,972.2833684103834,1000
['DHR;'],1y,3,1,0,0.75,82.95853533063621,1000
['DHR;'],5y,8,8,3,0.42105263157894735,141.27832112993502,1000
['DHR;'],10y,20,15,5,0.5,265.7809752600532,1000
['DHR;'],20y,38,31,9,0.48717948717948717,319.698282868522,1000
['AMD;'],1y,1,1,1,0.3333333333333333,-30.686528451101978,1000
['AMD;'],5y,9,7,3,0.47368421052631576,148.67795072283067,1000
['AMD;'],10y,18,14,5,0.4864864864864865,462.6127841046877,1000
['AMD;'],20y,37,30,7,0.5,621.7917352727484,1000
['TXN;'],1y,0,1,0,0,-42.657154628208644,1000
['TXN;'],5y,9,7,2,0.5,156.28464241027828,1000
['TXN;'],10y,23,13,2,0.6052631578947368,420.2832222529821,1000
['TXN;'],20y,40,24,4,0.5882352941176471,556.0365156173707,1000
['NKE;'],1y,0,2,0,0,-63.385718209403024,1000
['NKE;'],5y,10,9,1,0.5,89.88210024152494,1000
['NKE;'],10y,22,16,1,0.5641025641025641,268.65184266226663,1000
['NKE;'],20y,41,32,8,0.5061728395061729,446.4135863338204,1000
['PM;'],1y,1,3,0,0.25,-61.48426273890897,1000
['PM;'],5y,9,7,1,0.5294117647058824,27.139995901925474,1000
['PM;'],10y,19,12,3,0.5588235294117647,195.16406925746406,1000
['PM;'],20y,29,17,6,0.5576923076923077,348.04659012385815,1000
['UNP;'],1y,1,2,0,0.3333333333333333,-32.074275425502236,1000
['UNP;'],5y,7,8,3,0.3888888888888889,-19.309363010951557,1000
['UNP;'],10y,20,13,5,0.5263157894736842,274.14539925711495,1000
['UNP;'],20y,42,24,9,0.56,796.3698986053465,1000
['RY;'],1y,3,0,0,1.0,75.87996128627232,1000
['RY;'],5y,11,9,2,0.5,122.02081361498198,1000
['RY;'],10y,21,14,3,0.5526315789473685,244.16321528298536,1000
['RY;'],20y,47,23,8,0.6025641025641025,925.0760102135802,1000
['RTX;'],1y,0,2,0,0,-72.99290030343201,1000
['RTX;'],5y,3,11,3,0.17647058823529413,-295.36319599151625,1000
['RTX;'],10y,11,22,3,0.3055555555555556,-368.21857972826297,1000
['RTX;'],20y,31,40,4,0.41333333333333333,-284.9222336769104,1000
['NEE;'],1y,1,2,0,0.3333333333333333,-33.094341823032835,1000
['NEE;'],5y,14,6,1,0.6666666666666666,295.7143853323799,1000
['NEE;'],10y,27,15,2,0.6136363636363636,382.2381839752191,1000
['NEE;'],20y,52,25,5,0.6341463414634146,985.8293442521771,1000
['T;'],1y,0,1,0,0,-49.79498726981024,1000
['T;'],5y,4,11,0,0.26666666666666666,-250.90100070408425,1000
['T;'],10y,8,20,2,0.26666666666666666,-380.92245995657817,1000
['T;'],20y,25,34,6,0.38461538461538464,-204.3430448532103,1000
['MDT;'],1y,0,1,0,0,-30.899993896484418,1000
['MDT;'],5y,12,5,2,0.631578947368421,249.16798422677152,1000
['MDT;'],10y,19,16,4,0.48717948717948717,142.5800436292373,1000
['MDT;'],20y,34,28,6,0.5,258.4508330208911,1000
['HON;'],1y,1,1,0,0.5,-2.104304722377208,1000
['HON;'],5y,7,10,3,0.35,-132.56085728236596,1000
['HON;'],10y,19,15,6,0.475,38.27950978960331,1000
['HON;'],20y,40,26,11,0.5194805194805194,518.1399181093491,1000
['LOW;'],1y,1,0,1,0.5,24.708287811279263,1000
['LOW;'],5y,7,10,1,0.3888888888888889,-99.26168616158637,1000
['LOW;'],10y,19,16,2,0.5135135135135135,68.05708133152508,1000
['LOW;'],20y,35,30,6,0.49295774647887325,-25.805138506208635,1000
['COP;'],1y,2,1,0,0.6666666666666666,98.46999468122203,1000
['COP;'],5y,9,10,0,0.47368421052631576,119.91852460588714,1000
['COP;'],10y,17,17,3,0.4594594594594595,98.82548138754706,1000
['COP;'],20y,36,35,6,0.4675324675324675,111.92163802555595,1000
['AMGN;'],1y,1,2,0,0.3333333333333333,-41.840009416852695,1000
['AMGN;'],5y,7,10,1,0.3888888888888889,-88.17548740931915,1000
['AMGN;'],10y,18,18,2,0.47368421052631576,-11.665334265572454,1000
['AMGN;'],20y,31,36,4,0.43661971830985913,-210.3289170946391,1000
['UPS;'],1y,0,2,0,0,-56.114292689732224,1000
['UPS;'],5y,12,9,0,0.5714285714285714,134.46418435232982,1000
['UPS;'],10y,22,14,2,0.5789473684210527,273.5229487827848,1000
['UPS;'],20y,38,25,5,0.5588235294117647,528.0042001451768,1000
['TD;'],1y,2,2,0,0.5,0.5442951747349554,1000
['TD;'],5y,8,10,2,0.4,-63.00781838553287,1000
['TD;'],10y,19,19,4,0.4523809523809524,-4.646817725045295,1000
['TD;'],20y,42,31,7,0.525,584.2336095809931,1000
['CVS;'],1y,1,1,0,0.5,-8.795698983328606,1000
['CVS;'],5y,6,9,3,0.3333333333333333,-153.1932101113455,1000
['CVS;'],10y,16,17,4,0.43243243243243246,-97.49617892674037,1000
['CVS;'],20y,42,29,8,0.5316455696202531,522.2897402354648,1000
['TTE;'],1y,1,1,0,0.5,23.44142423357288,1000
['TTE;'],5y,8,9,3,0.4,-7.676185526166542,1000
['TTE;'],10y,17,18,4,0.4358974358974359,-13.717114176069003,1000
['TTE;'],20y,38,37,6,0.4691358024691358,45.434892245701676,1000
['SPGI;'],1y,2,0,1,0.6666666666666666,88.2900290352959,1000
['SPGI;'],5y,14,6,2,0.6363636363636364,313.21979566301644,1000
['SPGI;'],10y,27,16,2,0.6,459.46982127598386,1000
['SPGI;'],20y,45,27,7,0.569620253164557,671.0671069826402,1000
['ORCL;'],1y,1,1,0,0.5,8.384286063058099,1000
['ORCL;'],5y,6,12,2,0.3,-93.43491772242973,1000
['ORCL;'],10y,12,22,5,0.3076923076923077,-205.68474927629728,1000
['ORCL;'],20y,28,40,8,0.3684210526315789,-249.3040687424799,1000
['CBA;'],1y,1,4,0,0.2,-72.92074388159182,1000
['CBA;'],5y,8,7,1,0.5,643.8037082176124,1000
['CBA;'],10y,12,9,4,0.48,692.5504075265362,1000
['CBA;'],20y,12,9,4,0.48,692.5504075265362,1000
['ANTM;'],1y,0,2,0,0,-71.98861258370539,1000
['ANTM;'],5y,9,7,1,0.5294117647058824,48.625323922293234,1000
['ANTM;'],10y,24,13,2,0.6153846153846154,337.8362340654643,1000
['ANTM;'],20y,42,26,3,0.5915492957746479,591.8226472582136,1000
['IBM;'],1y,1,2,0,0.3333333333333333,-46.5670242309569,1000
['IBM;'],5y,8,14,1,0.34782608695652173,-180.82370943341914,1000
['IBM;'],10y,14,25,2,0.34146341463414637,-323.69013094220844,1000
['IBM;'],20y,33,41,6,0.4125,-133.48159648350259,1000
['INTU;'],1y,2,0,1,0.6666666666666666,10.227154105050317,1000
['INTU;'],5y,12,9,2,0.5217391304347826,85.83411036900091,1000
['INTU;'],10y,24,15,3,0.5714285714285714,219.24813594818073,1000
['INTU;'],20y,42,27,8,0.5454545454545454,316.1599323953902,1000
['CAT;'],1y,1,2,0,0.3333333333333333,-43.24568394252242,1000
['CAT;'],5y,9,9,3,0.42857142857142855,96.52312992640904,1000
['CAT;'],10y,18,18,4,0.45,79.36125586373444,1000
['CAT;'],20y,43,32,7,0.524390243902439,614.4615764754157,1000
['MS;'],1y,1,2,0,0.3333333333333333,-57.90998295375289,1000
['MS;'],5y,9,12,1,0.4090909090909091,-28.016147967747727,1000
['MS;'],10y,23,19,1,0.5348837209302325,298.83665485382073,1000
